t,y1,y2,x1,x2
2010-03-31,8685,15619,3.5,102.2
2010-06-30,7744,16693,3.5,101.7
2010-09-30,7927,17861,3.5,101.2
2010-12-31,10933,17997,3.5,101.3
2011-03-31,6920,17618,3.75,101.7
2011-06-30,7854,18333,4.5,102.3
2011-09-30,8249,18816,4.5,102.6
2011-12-31,11670,17440,4.5,103
2012-03-31,10460,17852,4.5,102.5
2012-06-30,9511,16864,4.75,102.5
2012-09-30,10456,18460,4.75,102.1
2012-12-31,12527,17783,4.25,101.7
2013-03-31,12230,17731,3.25,101.2
2013-06-30,11916,18960,2.75,101
2013-09-30,11896,20858,2.5,101.4
2013-12-31,15574,20975,2.5,101.2
2014-03-31,12304,20315,2.5,100.8
2014-06-30,11762,19591,2.5,100.8
2014-09-30,12456,19767,2,100.5
2014-12-31,14267,20019,2,100.4
2015-03-31,13712,23257,1.5,100.4
2015-06-30,13106,22678,1.5,100.3
2015-09-30,13439,23904,1.5,100.3
2015-12-31,16819,22994,1.5,100.2
2016-03-31,16917,25731,1.5,99.9
2016-06-30,17948,27563,1.5,99.7
2016-09-30,15249,25558,1.5,99.6
2016-12-31,13481,21867,1.5,99.9
2017-03-31,19632,30901,1.5,100.3
2017-06-30,18543,29252,1.5,100.8
2017-09-30,16025,29643,1.5,100.8
2017-12-31,13023,23052,1.5,100.9
2018-03-31,21788,32055,1.5,100.8
2018-06-30,19943,30843,1.5,100.6
2018-09-30,18279,31570,1.5,100.8
2018-12-31,21211,27914,1.5,100.7
2019-03-31,19744,32435,1.5,101.1
2019-06-30,22516,34431,1.5,101.8
2019-09-30,20005,34671,1.5,102.2
2019-12-31,17498,27436,1.5,102.7
2020-03-31,21724,33970,1,103.4
2020-06-30,21819,24456,0.1,103.8
2020-09-30,21809,30279,0.1,104.2
2020-12-31,19377,25884,0.1,104.1
2021-03-31,28031,35405,0.1,103.8
2021-06-30,29485,38412,0.1,103.8
2021-09-30,20565,37679,0.1,103.9
2021-12-31,23138,31957,1.75,104.9
